Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender,type,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
הרם,bshe0101-1,חֵ֖רֶם,NOUN,w-הרם,1-PreLets PRE_DEFINITEARTICLE ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הרע,"jord0001-128, jord0001-138",רַע,ADJ,w-הרע,1-PreLets PRE_DEFINITEARTICLE ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,evil,,,
השורה,"masa0449-2, masa0450-2, masa0451-2, masa0452-2",שׁוּרָה,NOUN,w-השורה,1-PreLets PRE_DEFINITEARTICLE NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,row,,,,,
השמים,"jord0001-170, jord0001-462",שָּׁמַיִם,NOUN,w-השמים,1-PreLets PRE_DEFINITEARTICLE ADJECTIVE MASCULINE PLURAL ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,y,heavens,,,,,,,,,,,y,heavens,,,
השני,jord0001-230,שְׁנַיִם,X,w-השני,1-PreLets PRE_DEFINITEARTICLE NUMBER MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
השרין,jord0001-525,שַׂר,NOUN,w-השרין,Aramaic 1-PreLets PRE_DEFINITEARTICLE ADJECTIVE FEMININE PLURAL ABSOLUTE UNSPECIFIED,,,,,,,,y,"military, government",prince,,,,,,,,,,,,,,,,,,,,,,,
התקעה,jeru0309-2,תְּקִיעָה,NOUN,w-התקעה,1-PreLets PRE_RELATIVIZER_SUBORDINATING PARTICIPLE FEMININE SINGULAR PERSON_3 ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,place of trumpeting,,,,,,,,,,,y,place of trumpeting,,,
ו,"beth0246-4, beth0263-1, beth0276-3, jeru0357-6, jeru0363-2, jord0001-72, jord0001-86, jord0001-141, jord0001-294, jord0001-403, jord0001-535, masa0449-10, qumr0001-25, qumr0001-32, unkn0102-6",,,w-ו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ו/י,qumr0001-20,,,w-ו/י,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואגדה,jord0001-58,נגד,VERB,w-ואגדה,1-PreLets PRE_CONJUNCTION NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואגיד,jord0001-133,נגד,VERB,w-ואגיד,2-PreLets PRE_CONJUNCTION PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואטיון,beth0237-17,אטיון,PROPN,w-ואטיון,,,,y,f,Jewish,Ation,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואינן,masa0449-6,אֵין,COP,w-ואינן,1-PreLets PRE_CONJUNCTION COPULA MASCULINE PLURAL PERSON_3 PRESENT UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואלוף,jord0001-229,אַלּוּף,NOUN,w-ואלוף,2-PreLets PRE_CONJUNCTION PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,y,"military, government",chief,,,,,,,,,,,,,,,,,,,,,,,
ואלעזר,jeru0303-16,אֶלְעָזָר,PROPN,w-ואלעזר,1-PreLets PRE_CONJUNCTION PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Eleazar,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואמ,huqo0001-14,,,w-ואמ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואני,"jord0001-166, jord0001-443",אֲנִי,PRON,w-ואני,1-PreLets PRE_CONJUNCTION PRONOUN MASCULINEFEMININE SINGULAR PERSON_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואנן,masa0451-5,אֵין,COP,w-ואנן,1-PreLets PRE_CONJUNCTION PRONOUN MASCULINEFEMININE PLURAL PERSON_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואסק,jeru0492-21,נסק,VERB,w-ואסק,1-PreLets PRE_CONJUNCTION VERB MASCULINE SINGULAR PERSON_1 FUTURE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואראה,jord0001-269,רָאָה ,VERB,w-ואראה,1-PreLets PRE_CONJUNCTION VERB MASCULINEFEMININE SINGULAR PERSON_1 FUTURE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואשתו,jeru0528-2,אִשָּׁה,NOUN,w-ואשתו,1-PreLets PRE_CONJUNCTION NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,y,wife,,,,,,,,,,,,,,,,,
ואת,"jord0001-171, jord0001-463, qumr0001-18, qumr0001-30",אֶת,CONJ,w-ואת,1-PreLets PRE_CONJUNCTION AT_PREP UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ובידו,masa0468-1,יָד,NOUN,w-ובידו,[none provided],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,body part,hand
וברוכין,huqo0001-1,בָּרוּךְ,ADJ,w-וברוכין,[none provided],,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,blessed,,,
ובריה,"masa0504-1, masa0506-2, masa0507-2",בַּר,NOUN,w-ובריה,[none provided],,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
וגלא,jeru0492-19,גָּלֵא,VERB,w-וגלא,1-PreLets NONSTANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,exile,,,
ודה,beth0265-2,,,w-ודה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וה,jord0001-541,,,w-וה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וה/אתאנים,qumr0001-21,,,w-וה/אתאנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
והו,jord0001-241,,,w-והו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
והחיצונית,beth0239-4,חִיצוֹנִי,ADJ,w-והחיצונית,2-PreLets PRE_CONJUNCTION PRE_DEFINITEARTICLE ADJECTIVE FEMININE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,outer coffin,,,,,
והנפש,jeru0303-3,נֶפֶשׁ,NOUN,w-והנפש,2-PreLets PRE_CONJUNCTION PRE_DEFINITEARTICLE NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,tomb,,,,,,,,,y,"tomb, soul",y,soul,,,
והשבין,jord0001-84,שָׁב,ADJ,w-והשבין,2-PreLets PRE_CONJUNCTION PRE_DEFINITEARTICLE ADJECTIVE MASCULINE PLURAL ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וח,jeru0379-4,,,w-וח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וטפחים,"masa0585-3, masa0585-6",טֶפַח,NOUN,w-וטפחים,1-PreLets PRE_CONJUNCTION NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,y,"handbreadth, tefach",,,,,,,
וי,jord0001-249,,,w-וי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וכולאילנ,qumr0001-23,,,w-וכולאילנ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וכרי,jord0001-112,,,w-וכרי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ולכול,jord0001-197,כֹּל,ADJ,w-ולכול,1-PreLets PRE_CONJUNCTION NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ום,"huqo0001-21, jaff0057-9, qumr0001-16",,,w-ום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ומחר,jord0001-328,מָחָר,ADV,1-PreLets PRE_CONJUNCTION ADVERB UNSPECIFIED,ADV,,,,,,,,,,,,,,,,,,,,y,tomorrow,,,,,,,,,,,,
ומירים,beth0251-3,מִרְיָם,PROPN,w-ומירים,1-PreLets PRE_CONJUNCTION PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,f,Jewish,Miriam,,,,,,,,,,,,,,,,,,,,,,,,,,,
ומעשות,ahma0001-5,עשה,VERB,w-ומעשות,1-PreLets PRE_CONJUNCTION NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ון,jeru0350-1,,,w-ון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ונ,jord0001-191,,,w-ונ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ועל,mger0150-7,עַל,,w-ועל,1-PreLets PRE_CONJUNCTION PREPOSITION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ועצמותיכם,jeru0327-4,עֶצֶם,NOUN,w-ועצמותיכם,1-PreLets PRE_CONJUNCTION NOUN MASCULINEFEMININE PLURAL ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_PLURAL SUF_PERSON_2,,,,,,,,,,,,,,,,,,,,,,,,,,,y,bone,,,,,
ופרוטין,"masa0450-6, masa0452-4",פְּרוּטְתָּא,NOUN,w-ופרוטין,Aramaic 1-PreLets PRE_CONJUNCTION NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ופרנשו,hali0001-2,פַּרְנָס,NOUN,w-ופרנשו,1-PreLets PRE_CONJUNCTION NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,y,government,administrator,,,,,,,,,,,,,,,,,,,,,,,
וקברתה,jeru0492-26,קֶבֶר,NOUN,w-וקברתה,1-PreLets PRE_CONJUNCTION NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_FEMININE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,y,tomb,,,,,,,,,,,,,,,
ור,jeru0359-1,,,w-ור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וראיתם,jeru0327-1,ראה,VERB,w-וראיתם,1-PreLets PRE_CONJUNCTION VERB MASCULINE PLURAL PERSON_2 PAST UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ורח,jord0001-282,,,w-ורח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וש,beth0239-8,,,w-וש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ושלום,"jaff0054-10, jeru0532-2, jeru0533-2",שָׁלוֹם,NOUN,w-ושלום,1-PreLets PRE_CONJUNCTION NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,peace,,,
ושמעיה,jeru0451-2,שְׁמַעְיָה,PROPN,w-ושמעיה,1-PreLets PRE_CONJUNCTION PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Shamayah,,,,,,,,,,,,,,,,,,,,,,,,,,,
ושערי,jord0001-189,שַׁעַר,NOUN,w-ושערי,1-PreLets PRE_CONJUNCTION NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,gate,,,,,,,,,,y,gate,,,,
ושש,jeru0327-2,שׂוּשׂ,VERB,w-ושש,1-PreLets PRE_CONJUNCTION NUMBER FEMININE PLURAL ABSOLUTECONSTRUCT UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וששה,beth0237-30,שִׁשָּׁה,X,w-וששה,1-PreLets PRE_CONJUNCTION NUMBER MASCULINE PLURAL ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ושתי,masa0585-4,שְׁנַיִם,X,w-ושתי,1-PreLets PRE_CONJUNCTION NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ושתים,beth0237-15,שְׁנַיִם,X,w-ושתים,1-PreLets PRE_CONJUNCTION NUMBER FEMININE DUAL ABSOLUTECONSTRUCT UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ות,"jord0001-354, jord0001-512",,,w-ות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ז,"beth0261-6, jord0001-17, unkn0102-7",ז,,w-ז,NUMBER UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
זבדיה,jeru0371-1,זְבַדְיָה,PROPN,w-זבדיה,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Zebediah,,,,,,,,,,,,,,,,,,,,,,,,,,,
זבנ,jeru0357-4,,,w-זבנ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
זה,"beth0227-1, beth0228-1, beth0248-1, dabb0006-1, jaff0054-1, jeru0303-1, jord0001-334",זֶה,PRON,w-זה,PRONOUN MASCULINE SINGULAR PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
זו,"beth0245-1, beth0246-1, beth0250-1, jord0001-222, jord0001-414",זֶה,PRON,w-זו,PRONOUN FEMININE SINGULAR PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
זוא,beth0244-1,זֶה,PRON,w-זוא,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
זי,mger0037-1,זֶה,PRON,w-זי,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
זכר,"beth0247-8, beth0248-16, masa0418-1",זֵכֶר,NOUN,w-זכר,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,memory,,,
זכריה,"erra0001-3, masa0477-1",זְכַרְיָה,PROPN,w-זכריה,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
זקי,huqo0001-7,,,w-זקי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
זר,jeru0350-3,,,w-זר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ח,"beth0261-12, jeru0357-17, jord0001-18, masa0387-1, qumr0001-29, unkn0102-8",ח,,w-ח,NUMBER UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ח/תומ/פותבי/ות,qumr0001-19,,,w-ח/תומ/פותבי/ות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חביב,jord0001-394,חָבִיב,ADJ,w-חביב,[none provided],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חדד,masa0469-3,חֲדַד,PROPN,w-חדד,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Hadad,,,,,,,,,,,,,,,,,,,,,,,,,,,
חודשים,beth0237-31,חֹדֶשׁ,NOUN,w-חודשים,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,y,month,,,,,,,,,,,,
חוני,masa0433-1,חוֹנִי,PROPN,w-חוני,VERB MASCULINE SINGULAR PERSON_ANY PRESENT UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_ACCUSATIVE SUF_MASCULINEFEMININE SUF_SINGULAR SUF_PERSON_1,,,y,m,Jewish,Honi,,,,,,,,,,,,,,,,,,,,,,,,,,,
חוניה,masa0505-1,חוניה,PROPN,w-חוניה,VERB MASCULINE PLURAL PERSON_ANY PRESENT UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_ACCUSATIVE SUF_FEMININE SUF_SINGULAR SUF_PERSON_3,,,y,m,Jewish,Onias,,,,,,,,,,,,,,,,,,,,,,,,,,,
חוקותיו,ahma0001-4,חֹק,NOUN,w-חוקותיו,NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,law,,,
חזיר,jeru0303-21,חֵזִיר,PROPN,w-חזיר,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Hezir,,y,religious,priest of the sons of Hezir,,,,,,,,,,,,,,,,,,,y,priest of the sons of Hezir,,,
חזקיה,masa0385-1,חִזְקִיָּה,PROPN,w-חזקיה,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Hezekiah,,,,,,,,,,,,,,,,,,,,,,,,,,,
חזקין,masa0386-1,חזקין,PROPN,w-חזקין,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Hezekiah,,,,,,,,,,,,,,,,,,,,,,,,,,,
חזרעטיה,jeru0419-4,,,w-חזרעטיה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חכלה,masa0407-2,חכלה,PROPN,w-חכלה,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Hacaliah,,,,,,,,,,,,,,,,,,,,,,,,,,,
חמשה,jord0001-214,חֲמִשָּׁה,X,w-חמשה,NUMBER MASCULINE PLURAL ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חנארו,jord0001-281,,,w-חנארו,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חנה,"akld0011-1, akld0012-1",חַנָּה,PROPN,w-חנה,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,f,Jewish,Hannah,,,,,,,,,,,,,,,,,,,,,,,,,,,
חנטי,jeru0357-11,חִנְטָא,NOUN,w-חנטי,VERB MASCULINE PLURAL PERSON_3 PRESENT UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,wheat,,,,,
חני,"masa0406-2, qumr0001-6",חַנִּי,PROPN,w-חני,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Hananiah,,,,,,,,,,,,,,,,,,,,,,,,,,,
חניה,"jeru0303-6, jeru0303-18",חניה,PROPN,w-חניה,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Haniah,,,,,,,,,,,,,,,,,,,,,,,,,,,
חנין,jeru0348-1,חָנֲין,PROPN,w-חנין,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Hanin,,,,,,,,,,,,,,,,,,,,,,,,,,,
חנינא,"masa0484-6, masa0488-1",חֲנִינָא,PROPN,w-חנינא,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Hananiah,,,,,,,,,,,,,,,,,,,,,,,,,,,
חנן,"jeru0357-2, jeru0357-23",חָנָן,PROPN,w-חנן,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Hanan,,,,,,,,,,,,,,,,,,,,,,,,,,,
חננ,jeru0375-1,חֲנַנְיָה,PROPN,w-חננ,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Hananiah,,,,,,,,,,,,,,,,,,,,,,,,,,,
חנניה,"jaff0057-1, jeru0381-1, jeru0397-3, jeru0486-1, jeru0531-1, jeru0532-1, jeru0533-1, masa0392-1, shap0002-1, shap0002-4, shap0003-1, shap0003-4",חֲנַנְיָה,PROPN,w-חנניה,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Hananiah,,,,,,,,,,,,,,,,,,,,,,,,,,,
חסד,"jord0001-470, jord0001-473",חֶסֶד,NOUN,w-חסד,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,mercy,,,
חת,jord0001-79,,,w-חת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ט,"beth0272-2, masa0445-1, unkn0102-9",ט,,w-ט,NUMBER UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
טבחי,jord0001-348,טֶֽבַח,NOUN,w-טבחי,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,"slaughter, sacrifice",,,
טבלה,beth0229-1,טַבְלָה,NOUN,w-טבלה,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
טבת,tibe0009-2,טֵבֵת,PROPN,w-טבת,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,y,"month, season",Hebrew,,,,,,,,,,,
טהור,masa0456-1,טָהוֹר,ADJ,w-טהור,ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,
טהר,masa0449-13,טהר,VERB,w-טהר,VERB MASCULINE SINGULAR PERSON_3 PAST UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,pure,,,
טובי,masa0409-1,טובי,PROPN,w-טובי,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINEFEMININE SUF_SINGULAR SUF_PERSON_1,,,y,m,Jewish,Tobias,,,,,,,,,,,,,,,,,,,,,,,,,,,
טוהר,masa0457-2,טהר,VERB,w-טוהר,VERB MASCULINE SINGULAR PERSON_3 PAST PASSIVE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,pure,,,
טחין,jeru0372-2,,NOUN,w-טחין,[none provided],,,,,,,,,,,,,,,,,,,,,,,,,,,y,"wheat, barley",,,,,
טיבו,masa0400-2,טיבו,PROPN,w-טיבו,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,y,m,Jewish,Tobias,,,,,,,,,,,,,,,,,,,,,,,,,,,
טלה,tibe0001-1,טָלֶה,PROPN,w-טלה,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,Zodiac sign,Aries
י,"beth0259-1, beth0261-10, jeru0492-23, jord0001-20, jord0001-106, jord0001-299, jord0001-302, jord0001-327, jord0001-427, jord0001-560, masa0518-1, masa0546-1, qumr0001-15, qumr0001-34, unkn0102-10",י,,w-י,NUMBER UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יא,jeru0490-2,,,w-יא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יאמר,jord0001-274,אמר,VERB,w-יאמר,VERB MASCULINE SINGULAR PERSON_3 FUTURE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יב,jeru0358-1,,,w-יב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יד,jord0001-42,,,w-יד,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יה,"beth0265-1, jeru0364-1, jeru0375-2, jeru0485-2, jord0001-519, masa0418-2",יָהּ,PROPN,w-יה,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,y,Yah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהא,huqo0001-12,היה,VERB,w-יהא,COPULA MASCULINE SINGULAR PERSON_3 FUTURE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהו,"jord0001-37, masa0484-2, masa0485-1",,,w-יהו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהוא,masa0398-1,יהוא,PROPN,w-יהוא,,,,y,m,Jewish,Yehu,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהוד,"masa0547-2, thar0001-2",יְהוּד,PROPN,w-יהוד,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,Judaea,,https://pleiades.stoa.org/places/981527,,,,,,,,,,,,,
יהודה,"beth0237-21, beth0249-1, beth0256-1, jeru0017-3, jeru0017-6, jeru0303-8, jeru0384-1, jeru0385-1, jeru0390-4, jeru0391-1, jeru0397-1, jeru0462-1, jord0001-190, masa0351-1, masa0471-1, masa0484-7, masa0484-8, masa0484-9, masa0484-10, masa0484-11, masa0489-1, masa0490-1, masa0491-1, masa0492-1, masa0493-1",יְהוּדָה,PROPN,w-יהודה,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Judah,,,,,,,,,,,y,Judaea,,https://pleiades.stoa.org/places/981527,,,,,,,,,,,,,
יהוה,"jord0001-47, jord0001-64, jord0001-122, jord0001-157, jord0001-175, jord0001-204, jord0001-275, jord0001-352, jord0001-360, jord0001-432, jord0001-458, jord0001-554",יהוה,PROPN,w-יהוה,NONSTANDARD,y,Yehovah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
